Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Slovakia/TN_22_00001649/2022	Nikola Slivková et al	EPI_ISL_13432426	Regional Public Health Authority with the seat in Trenčín, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/Brazil/GO-BIOVIDA-1688/2022	Mariana Pires de Campos Telles et al	EPI_ISL_13199302	BIOVIDA	LGBio (Laboratorio de Genetica & Biodiversidade)		GISAID	sars2_21L
hCoV-19/Slovakia/BA_22_00015612/2022	Tomáš Szemes et al	EPI_ISL_11310147	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/Israel/SMC-7048014/2022	Nir Rainy et al	EPI_ISL_11319515	Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)		GISAID	sars2_21L
hCoV-19/Georgia/Tb-sNGS5044/2022	Giorgi Tomashvili et al	EPI_ISL_12708621	Central Republican Hospital	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.		GISAID	sars2_21L
hCoV-19/Croatia/29781/2022	Irena Tabain et al	EPI_ISL_10447713	Hrvatski zavod za javno zdravstvo	Hrvatski zavod za javno zdravstvo		GISAID	sars2_21L
hCoV-19/USA/WI-CDC-LC0492437/2022	Dakota Howard et al	EPI_ISL_9476631	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM499512.1	GISAID	sars2_21L
hCoV-19/Venezuela/Voy1693/2022	Rossana C Jaspe et al	EPI_ISL_14818636	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Algeria/12606/2022	Fayez Khardine et al	EPI_ISL_10588937	NIC, Viral Respiratory Unit	Virology Departement		GISAID	sars2_21L
hCoV-19/Brazil/MG-FIOCRUZ-1831/2022	Thais Silva et al	EPI_ISL_13846074	Laboratorio de Biologia Molecular	Instituto Rene Rachou / Fiocruz Minas		GISAID	sars2_21L
hCoV-19/Turkey/HSGM-IST-00138/2022	Gülay Korukluoğlu et al	EPI_ISL_13112761	Ministry of Health Turkey	Ministry of Health Turkey		GISAID	sars2_21L
hCoV-19/Turkey/HSGM-IST-00822/2022	Gülay Korukluoğlu et al	EPI_ISL_13112926	Ministry of Health Turkey	Ministry of Health Turkey		GISAID	sars2_21L
hCoV-19/Bulgaria/22BG-EU_018844_Pl177/2022	Alexiev et al	EPI_ISL_13180272	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_2250/2022	Cortinas et al	EPI_ISL_16385394	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Slovakia/BA_22_00012045/2022	Tomáš Szemes et al	EPI_ISL_10773398	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	Laboratory of Genomics and Bioinformatics, Comenius University Science Park		GISAID	sars2_21L
hCoV-19/BosniaandHerzegovina/AGCOB2610/2022	Pecar D et al	EPI_ISL_13804570	"General Hospital ""Abdulah Nakas"""	Alea Genetic Centre		GISAID	sars2_21L
hCoV-19/Germany/SH-RKI-I-855148/2022	?	EPI_ISL_13249071	Sonic - MVZ Medizinisches Labor Nord GmbH Kiel	Robert Koch Institute		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_2860/2022	Cortinas et al	EPI_ISL_16389498	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública	Departamento Laboratorios de Salud Pública (DLSP) Ministerio de Salud Pública		GISAID	sars2_21L
hCoV-19/Pakistan/NIH-B95-S17/2022	Massab Umair et al	EPI_ISL_15111983	Department of Virology	Department of Virology		GISAID	sars2_21L
hCoV-19/Maldives/MAV188045/2022	D. Fathmath Nazla Rafeeq et al	EPI_ISL_12635691	Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital		GISAID	sars2_21L
hCoV-19/Jamaica/JAM-UWIMicro-0618/2022	Keisha Francis et al	EPI_ISL_12087608	21 Slipe Pen Road, Kingston, Jamaica, W.I.	Department of Microbiology, University of the West Indies		GISAID	sars2_21L
hCoV-19/USA/KS-ASC-210837327/2022	Cyndi Clark et al	EPI_ISL_15009437	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Colombia/ANT-CWOHC-VG-SEC03529S/2022	Andres F. Cardona-Rios et al	EPI_ISL_13632106	LABORATORIO CLÍNICO HEMATOLOGICO	Universidad Nacional de Colombia - Laboratorio Genómico One Health		GISAID	sars2_21L
hCoV-19/Canada/ON-PHL-22-08727/2022	Vanessa G Allen et al	EPI_ISL_10208838	Public Health Ontario Laboratory	Public Health Ontario Laboratory		GISAID	sars2_21L
hCoV-19/Jordan/MOH-CPHL006/2022	Dr.Gazo et al	EPI_ISL_14949820	MOH-Jordan, CPHL, Molecular lab	MOH-Jordan, CPHL		GISAID	sars2_21L
hCoV-19/Venezuela/Dtto939/2022	Rossana C Jaspe et al	EPI_ISL_15165705	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Panama/M223639-GMI/2022	Claudia Gonzalez et al	EPI_ISL_13105285	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Panama/M221304-GMI/2022	Claudia Gonzalez et al	EPI_ISL_11859565	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Australia/ACT7013/2022	Austin Bird et al	EPI_ISL_13868034	Capital Pathology	Schwessinger Lab		GISAID	sars2_21L
hCoV-19/Australia/QLD0x00EE9A/2022	Chenwei Wang on behalf of Q-PHIRE Genomics et al	EPI_ISL_13087425	Sullivan Nicolaides Pathology	Public Health Virology - Forensic and Scientific Services (PHV-FSS)		GISAID	sars2_21L
hCoV-19/Chile/RM-55916/2022	Karen Orostica et al	EPI_ISL_12809925	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Chile/LL-62182/2022	Constanza Campano et al	EPI_ISL_13059168	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Guatemala/4828-LNS/2022	Mendoza L et al	EPI_ISL_13490301	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Guatemala/43641-LNS/2022	Mendoza L et al	EPI_ISL_13096542	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/DominicanRepublic/BWHDR002590-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_15256086	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/Bolivia/SAN-UPCH-3544/2022	Esdenka Pérez et al	EPI_ISL_17206075	Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-97670/2022	Adam Meijer et al	EPI_ISL_12550527	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Curacao/CW-RIVM-93032/2022	Adam Meijer et al	EPI_ISL_11407594	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Australia/VIC42915/2022	Seemann et al	EPI_ISL_10561748	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL), The Peter Doherty Institute for Infection and Immunity		GISAID	sars2_21L
hCoV-19/NewZealand/22CV6662/2022	Sarah Cockerton et al	EPI_ISL_13764198	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre		GISAID	sars2_21L
hCoV-19/Mexico/YUC_IBT_IMSS_8027/2022	Julio Elias Alvarado-Yaah et al	EPI_ISL_13575185	Unidad de Investigación Médica de Yucatán (UIMY)	Instituto de Biotecnología de la UNAM		GISAID	sars2_21L
hCoV-19/Argentina/INEI120778/2022	Baumeister E. et al	EPI_ISL_13726550	Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran		GISAID	sars2_21L
hCoV-19/USA/AK-CDC-QDX36652232/2022	Dakota Howard et al	EPI_ISL_12911414	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON602527.1	GISAID	sars2_21L
hCoV-19/USA/CO-CDPHE-2103233057/2022	Laura Bankers et al	EPI_ISL_13165117	Colorado Department of Public Health and Environment	Colorado Department of Public Health and Environment	ON847904.1	GISAID	sars2_21L
hCoV-19/Canada/SK-RRPL-454479/2022	Ryan McDonald et al	EPI_ISL_13417406	Roy Romanow Provincial Laboratory (RRPL)	Roy Romanow Provincial Laboratory (RRPL)		GISAID	sars2_21L
hCoV-19/Mexico/MOR_IBT_IMSS_7737/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_13405245	Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM		GISAID	sars2_21L
hCoV-19/CostaRica/INC-5395-760946/2022	Francisco Duarte et al	EPI_ISL_13959360	HOSPITAL DR. TOMAS CASAS CASAJUS	Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Belize/CML-527/2022	Roberto Melendez et al	EPI_ISL_13855635	Central Medical Laboratory	Central Medical Laboratory		GISAID	sars2_21L
hCoV-19/Chile/AP-79432/2022	Constanza Campano et al	EPI_ISL_13736843	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/USA/FL-CDC-QDX37055668/2022	Dakota Howard et al	EPI_ISL_13115968	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON679181.1	GISAID	sars2_21L
hCoV-19/Bolivia/SAN-UPCH-3600/2022	Esdenka Pérez et al	EPI_ISL_17206097	Laboratorio de Diagnóstico e Investigación BIOSCIENCE SRL	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia		GISAID	sars2_21L
hCoV-19/NewZealand/22YA2967/2022	Sarah Cockerton et al	EPI_ISL_15276660	Taranaki Pathology Services	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Turkey/HSGM-GS5273/2022	Fatma Bayrakdar et al	EPI_ISL_13717076	Ministry of Health Turkey	Ministry of Health Turkey		GISAID	sars2_21L
hCoV-19/Mexico/GUA_IBT_IMSS_7570/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_13405409	Centro de Investigación Biomédica de Occidente (CIBO)	Instituto de Biotecnología de la UNAM		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-428855/2022	Alfredo Bruno et al	EPI_ISL_14706747	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-103951/2022	Adam Meijer et al	EPI_ISL_13759850	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-102297/2022	Adam Meijer et al	EPI_ISL_13332383	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Palau/PW-H2214088/2022	Pamela O'Brien et al	EPI_ISL_14334371	Laboratory Services, Palau Ministry of Health	State Laboratories Division, Hawaii State Department of Health		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-114060/2022	Alfredo Bruno et al	EPI_ISL_13114030	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-17618/2022	Carlos Padilla Rojas et al	EPI_ISL_14207344	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Ecuador/USFQ-3607/2022	Mateo Carvajal et al	EPI_ISL_13351903	Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito		GISAID	sars2_21L
hCoV-19/Bermuda/WR-NYGC-JULY-15308-OUOL976/2022	Michael Zody et al	EPI_ISL_14769809	Bermuda Molecular Diagnostics and Research Laboratory	New York Genome Center		GISAID	sars2_21L
hCoV-19/Canada/NS-NSH-462426/2022	Loder et al	EPI_ISL_13855950	NS-QEII Health Sciences Centre	Nova Scotia Health Authority		GISAID	sars2_21L
hCoV-19/USA/GA-CDC-MMB14821705/2022	Dakota Howard et al	EPI_ISL_12080822	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON242771.1	GISAID	sars2_21L
hCoV-19/USA/TX-HMH-96650/2022	Paul A. Christensen et al	EPI_ISL_12109104	Houston Methodist Hospital	Houston Methodist Hospital		GISAID	sars2_21L
hCoV-19/Mexico/BCN_LANGEBIO_IMSS_9972/2022	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_14254241	Laboratorio Central de Epidemiologia (LCE)	Unidad de Genomica Avanzada		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-17118/2022	Carlos Padilla Rojas et al	EPI_ISL_12961117	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/USA/AR-PHL-0000328/2022	"""Yang et al"	EPI_ISL_17133047	Public Health Laboratory, Arkansas Department of Health	Public Health Laboratory, Arkansas Department of Health		GISAID	sars2_21L
hCoV-19/Chile/RM-79637/2022	Constanza Campano et al	EPI_ISL_13736763	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/USA/CA-SEARCH-93390/2022	David Pride et al	EPI_ISL_15721660	EXCITE Lab, University of California, San Diego	Andersen Lab at The Scripps Research Institute		GISAID	sars2_21L
hCoV-19/Aruba/AW-RIVM-101730/2022	Adam Meijer et al	EPI_ISL_13214585	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Belize/CML-640/2022	Roberto Melendez et al	EPI_ISL_14312841	Central Medical Laboratory	Central Medical Laboratory		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-114169/2022	Alfredo Bruno et al	EPI_ISL_13542637	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/USA/DC-Curative-429919/2022	J.Cesar Ignacio-Espinoza et al	EPI_ISL_13413616	Curative Labs	Curative Labs		GISAID	sars2_21L
hCoV-19/USA/MN-CDC-STM-8784FG6SA/2022	Dakota Howard et al	EPI_ISL_12712535	Helix	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON520427.1	GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-20425/2022	Carlos Padilla Rojas et al	EPI_ISL_13689801	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Mexico/NAY_CIAD-IMSS_202201023472/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_13983108	Centro de Investigacion Biomedica de Occidente (CIBO)	Microbial Genomics Laboratory		GISAID	sars2_21L
hCoV-19/USA/SC-CDC-QDX37799843/2022	Dakota Howard et al	EPI_ISL_13469079	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON846602.1	GISAID	sars2_21L
hCoV-19/Ireland/DL-NVRL-S22IRL00358299/2022	Zoe Yandle et al	EPI_ISL_13574890	National Virus Reference Laboratory	National Virus Reference Laboratory		GISAID	sars2_21L
hCoV-19/USA/MI-UM-10045874216/2022	Baker et al	EPI_ISL_13373577	University of Michigan Clinical Microbiology Laboratory	Lauring Lab, University of Michigan, Department of Microbiology and Immunology		GISAID	sars2_21L
hCoV-19/Kosovo/CO-00850_XXK000_9736_05_Niph_2022/2022	Xhevat Jakupi et al	EPI_ISL_13517411	Department of Microbiology, National Institute of Public Health of Kosovo	Department of Microbiology, National Institute of Public Health of Kosovo		GISAID	sars2_21L
hCoV-19/USA/AK-PHL20807/2022	Jeremy Roe et al	EPI_ISL_13295607	Alaska State Virology Laboratory	Alaska State Virology Laboratory	OP325630.1	GISAID	sars2_21L
hCoV-19/USA/DC-Curative-319522/2022	J.Cesar Ignacio-Espinoza et al	EPI_ISL_12767372	Curative Labs	Curative Labs		GISAID	sars2_21L
hCoV-19/CostaRica/HNN-8358-5610/2022	Mairena Christopher et al	EPI_ISL_16307366	HOSPITAL DE NIÑOS DR. CARLOS SAENZ HERRERA	Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Guatemala/4958-LNS/2022	Mendoza L et al	EPI_ISL_13490331	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Ecuador/NIC-INSPI-94294/2022	Alfredo Bruno et al	EPI_ISL_14081146	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS		GISAID	sars2_21L
hCoV-19/Guatemala/4784-LNS/2022	Mendoza L et al	EPI_ISL_13490291	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Bolivia/CBBA-PUC_MVL_3358/2022	Catalina Pardo-Roa et al	EPI_ISL_16765658	Laboratorio de Biología Molecular, IIBISMED Facultad de Medicina, Universidad Mayor de San Simón.	Laboratory of Molecular Virology, School of Medicine, Pontificia Universidad Catolica de Chile		GISAID	sars2_21L
hCoV-19/Mexico/COL_InDRE_FB15169_E06117151029_S13728/2022	Claudia Wong-Arambula et al	EPI_ISL_13703790	LESP Colima	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		GISAID	sars2_21L
hCoV-19/DominicanRepublic/2019781-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_13965559	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/Belize/CML-535/2022	Roberto Melendez et al	EPI_ISL_13855643	Central Medical Laboratory	Central Medical Laboratory		GISAID	sars2_21L
hCoV-19/Argentina/INEI120748/2022	Baumeister E. et al	EPI_ISL_13726527	Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran		GISAID	sars2_21L
hCoV-19/Ecuador/USFQ-3513/2022	Belén Prado-Vivar et al	EPI_ISL_13351868	Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito		GISAID	sars2_21L
hCoV-19/CostaRica/INC-5296-760452/2022	Francisco Duarte et al	EPI_ISL_13810364	AREA DE SALUD LOS SANTOS	Inciensa, Instituto de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Mexico/SIN_CIAD-MZT_HJ6141/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_13368401	Hospital Margarita Maza de Juárez	Microbial Genomics Laboratory		GISAID	sars2_21L
hCoV-19/Singapore/6502/2022	Grace Ngan et al	EPI_ISL_13273971	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases		GISAID	sars2_21L
hCoV-19/DominicanRepublic/1949253-LNSPDD/2022	Isaac Miguel Sánchez et al	EPI_ISL_13690286	Laboratorio Nacional de Salud Pública Dr. Defilló	Laboratorio Nacional de Salud Pública Dr. Defilló		GISAID	sars2_21L
hCoV-19/Seychelles/SS10599/2022	Githinji G. et al	EPI_ISL_15585786	Seychelles Public Health Laboratory	KEMRI-Wellcome Trust Research Programme,Kilifi		GISAID	sars2_21L
hCoV-19/USA/MN-MDH-28143/2022	Jacob Garfin et al	EPI_ISL_14276323	LAKE REGION HEALTHCARE	Minnesota Department of Health, Public Health Laboratory	OP161737.1	GISAID	sars2_21L
hCoV-19/Canada/MB-CPL-485938/2022	David Alexander et al	EPI_ISL_14479101	MB-Cadham Provincial laboratory	Manitoba Cadham Provincial Laboratory		GISAID	sars2_21L
