Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/Mexico/MEX_LANGEBIO_IMSS_81612-NC/2021	EPI_ISL_2969968		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/NAY_LANGEBIO_IMSS_31857-NC/2021	EPI_ISL_2969989		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/NLE_LANGEBIO_IMSS_34985-NC/2021	EPI_ISL_2969990		Centro de Investigacion Biomedica del Noreste (CIBIN)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/TAB_INER_IMSS_00426/2021	EPI_ISL_1585434		Unidad de Investigación Médica de Yucatán (UIMY)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/TLA_INER_IMSS_00665/2021	EPI_ISL_1585660		Laboratorio Central de Epidemiología (LCE)	Instituto Nacional de Enfermedades Respiratorias (INER): Centro de Investigación en Enfermedades Infecciosas (CIENI)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Mexico/TLA_IBT_IMSS_1043/2021	EPI_ISL_1811379		Laboratorio Central de Epidemiología (LCE)	Instituto de Biotecnología de la UNAM	Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Ghana/UHAS-G441/2020	EPI_ISL_648124		UHAS COVID-19 Lab	UHAS COVID-19 Lab	Kwabena O. Duedu et al	GISAID	sars2
hCoV-19/Russia/SPE-RII-MH18142S/2021	EPI_ISL_2450556		City Hospital No 40	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al	GISAID	sars2
hCoV-19/Georgia/Tb-sNGS6928/2023	EPI_ISL_16647788		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Giorgi Tomashvili et al	GISAID	sars2
hCoV-19/Bahrain/150904185_S40_L001/2022	EPI_ISL_14122226	OM283471.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al	GISAID	sars2
hCoV-19/Chile/AP-43846/2022	EPI_ISL_12692451		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al	GISAID	sars2
hCoV-19/Peru/JUN-INS-13121/2022	EPI_ISL_9681164		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/Congo/FCRM-176-14828/2022	EPI_ISL_11621468		Fondation Congolaise pour la recherche medicale (FCRM), Francine Ntoumi	Fondation Congolaise pour la Recherche Médicale	Mfoutou Mapanguy Claujens Chastel et al	GISAID	sars2
hCoV-19/ElSalvador/INC-LNSP-118/2022	EPI_ISL_9915334		Laboratorio Nacional de Salud Publica	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Ruth Vasquez et al	GISAID	sars2
hCoV-19/Bahamas/18274-GMI/2021	EPI_ISL_11680139		Reference Laboratory of the Ministry of Health Royal Victoria Gardens	Genomics and Proteomics Departament, Gorgas Memorial Institute For Health Studies	Indira Martins et al	GISAID	sars2
hCoV-19/Iceland/DCGN-0001880/2021	EPI_ISL_16928371		deCODE genetics	deCODE genetics	Melsted et al	GISAID	sars2
hCoV-19/Cyprus/CING_23_0301_Ni/2022	EPI_ISL_13773741		Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Department of Molecular Virology, Cyprus Institute of Neurology and Genetics	Jan Richter et al	GISAID	sars2
hCoV-19/Guinea/LFHVG-G0746/2022	EPI_ISL_14605116		Laboratoire des Fievres Hemorragiques Virales en Guinee, LFHVG	Laboratoire des Fievres Hemorragiques Virales en Guinee, LFHVG, and the Bernhard Nocht Institute for Tropical Medicine, BNITM	N’Faly Magassouba et al	GISAID	sars2
hCoV-19/USA/KY-GD_02150/2021	EPI_ISL_10723946	OM918588.1	Gravity Diagnostics, LLC	University of Louisville Sequencing Technology Center	Elizabeth Hudson et al	GISAID	sars2
hCoV-19/Slovenia/584087/2021	EPI_ISL_9513368		Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Alen Suljič et al	GISAID	sars2
hCoV-19/Japan/TKYS01626/2021	EPI_ISL_8559458		Tokyo Metropolitan Institute of Public Health	Tokyo Metropolitan Institute of Public Health	Masaki Hayashi et al	GISAID	sars2
hCoV-19/Colombia/NAR-IAVH-VG-17290/2022	EPI_ISL_11564625		Clinica Clinizad	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt	Nicolás D. Franco-Sierra et al	GISAID	sars2
hCoV-19/Nicaragua/CNDR-192883/2022	EPI_ISL_15326757		CNDR, Departamento de Virología	CNDR, Departamento de Virología	Angel Balmaseda et al	GISAID	sars2
hCoV-19/Serbia/688865_2112/2021	EPI_ISL_8748604		"Institute of Virology, Vaccines and Sera ""Torlak"""	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade	Knezevic et al	GISAID	sars2
hCoV-19/SouthKorea/KDCA30633/2022	EPI_ISL_10664084		Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency	Jeong-Ah Kim et al	GISAID	sars2
hCoV-19/Guinea/IPG-26014/2022	EPI_ISL_10312069		Institut Pasteur de Guinée	Institut Pasteur de Guinée	Solène Grayo et al	GISAID	sars2
hCoV-19/Romania/IS-7312/2022	EPI_ISL_9966852		Department of Public Health Iasi	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al	GISAID	sars2
hCoV-19/Paraguay/431481/2022	EPI_ISL_13147927		IP - HOSP. FUNDACION TESAI	Laboratorio Central de Salud Pública	Sandra Gonzalez et al	GISAID	sars2
hCoV-19/Paraguay/330271/2021	EPI_ISL_9469728		Laboratorio Central de Salud Pública	Laboratorio Central de Salud Pública	Sandra Gonzalez et al	GISAID	sars2
hCoV-19/Paraguay/441604/2022	EPI_ISL_13156357		Hospital Nacional de Itauguá	Laboratorio Central de Salud Pública	Andrea Gómez de la Fuente et al	GISAID	sars2
hCoV-19/SouthAfrica/SU-NHLS-3733/2022	EPI_ISL_8890457		Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Susan Engelbrecht et al	GISAID	sars2
hCoV-19/Rwanda/NRL/EK0701895/2021	EPI_ISL_9878077		Nucleic Acid Testing Laboratory-Rwanda Biomedical Centre	Nucleic Acid Testing Laboratory-Rwanda Biomedical Centre	Dieudonne Mutangana et al	GISAID	sars2
hCoV-19/SouthAfrica/NICD-N23955/2021	EPI_ISL_8799111		PORT ELIZABETH LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al	GISAID	sars2
hCoV-19/Egypt/CPHL-21872/2022	EPI_ISL_12607723		CPHL,MOH,EGYPT	CPHL	Wael H. Roshdy et al	GISAID	sars2
hCoV-19/Switzerland/un-HUG-36537958/2021	EPI_ISL_8466264		University Hospitals of Geneva, Laboratory of Virology	HUG, Laboratory of Virology and the Health2030 Genome Center	Samuel Cordey et al	GISAID	sars2
hCoV-19/Latvia/2203070599/2022	EPI_ISL_13629350		Riga East Clinical University Hospital	Riga East Clinical University Hospital, National Microbiology Reference Laboratory	Reinis Vangravs et al	GISAID	sars2
hCoV-19/Ukraine/68278p/2022	EPI_ISL_14889092		Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Reference laboratory for diagnostics of HIV/AIDS, virological and especially dangerous pathogens	Iryna Demchyshyna et al	GISAID	sars2
hCoV-19/Vanuatu/VAN32/2022	EPI_ISL_15640898		Vila Central Hospital	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Sero et al	GISAID	sars2
hCoV-19/NewZealand/22MV0044/2021	EPI_ISL_8648637		LabPLUS	Institute of Environmental Science and Research (ESR)	Sarah Cockerton et al	GISAID	sars2
hCoV-19/Australia/WA1171/2022	EPI_ISL_9595689		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	GISAID	sars2
hCoV-19/Australia/QLD25253/2022	EPI_ISL_9639461		PHV-FSS	PHV-FSS	Chenwei Wang on behalf of Q-PHIRE Genomics et al	GISAID	sars2
hCoV-19/Australia/QLD0x00C81D/2022	EPI_ISL_10975306		Pathology Queensland and Forensic Scientific Services	PHV-FSS	Chenwei Wang on behalf of Q-PHIRE Genomics et al	GISAID	sars2
hCoV-19/Zhejiang/4000/2021	EPI_ISL_8163718		Hangzhou Center for Disease Control and Prevention	Hangzhou Center for Disease Control and Prevention	Yu Hua et al	GISAID	sars2
hCoV-19/Australia/TAS001359/2022	EPI_ISL_11834435		Royal Hobart Hospital	Royal Hobart Hospital	J Williamson et al	GISAID	sars2
hCoV-19/Australia/VIC44995/2022	EPI_ISL_11176655		Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Seemann et al	GISAID	sars2
hCoV-19/Australia/ACT3813/2022	EPI_ISL_11657503		ACT Pathology	Schwessinger Lab	Austin Bird et al	GISAID	sars2
hCoV-19/Australia/NT-RDH-136/2022	EPI_ISL_10093245		Territory Pathology	Territory Pathology	Dimitrios Menouhos et al	GISAID	sars2
hCoV-19/Australia/SA3643/2021	EPI_ISL_8373127		SA Pathology	SA Pathology	Caitlin Selway et al	GISAID	sars2
hCoV-19/Madagascar/IPM-01068/2022	EPI_ISL_13729323		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Vololoniaina Raharinosy et al	GISAID	sars2
hCoV-19/Slovenia/17-000647-CE/2022	EPI_ISL_14647613		National Laboratory for Health, Environment and Food, OMM, Celje	NLZOH (National Laboratory for Health, Environment and Food) / CISLD (Clinical Institute of Special Laboratory Diagnostics), University Children's Hospital, University Medical Center Ljubljana	Sandra Janezic et al	GISAID	sars2
hCoV-19/SouthAfrica/NHLS-UCT-GS-AF83/2021	EPI_ISL_8975020	OM739955.1	Groote Schuur Hospital wc GSH	NHLS/UCT	Arash Iranzadeh et al	GISAID	sars2
hCoV-19/CostaRica/INC-2758-731140/2022	EPI_ISL_9495748		Hospital Dr. Enrique Baltodano Briceño	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al	GISAID	sars2
hCoV-19/Australia/WA1405/2022	EPI_ISL_10065022		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA Microbial Surveillance Unit	PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	GISAID	sars2
hCoV-19/Zambia/ZMB-128376/2021	EPI_ISL_7988149		University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe et al	GISAID	sars2
hCoV-19/Guadeloupe/IPP06459/2022	EPI_ISL_9878905		Labo Analyses Med	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Marion Barbet et al B	GISAID	sars2
hCoV-19/Jamaica/JAM-UWIMicro-0088/2021	EPI_ISL_10251335		National Public Health Laboratory (NPHL)	Department of Microbiology, University of the West Indies	Keisha Francis et al	GISAID	sars2
hCoV-19/Ireland/LH-NVRL-S21IRL00569258/2021	EPI_ISL_8723137		National Virus Reference Laboratory	National Virus Reference Laboratory	Zoe Yandle et al	GISAID	sars2
hCoV-19/CaboVerde/44434/2021	EPI_ISL_11270586		Virology Laboratory of Praia	Institut Pasteur de Dakar	Sanders Kevin et al	GISAID	sars2
hCoV-19/Canada/MB-CPL-366968/2022	EPI_ISL_10654799		MB-Cadham Provincial laboratory	Manitoba Cadham Provincial Laboratory	David Alexander et al	GISAID	sars2
hCoV-19/Madagascar/IPM-00977/2022	EPI_ISL_13729321		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Vololoniaina Raharinosy et al	GISAID	sars2
hCoV-19/UnitedArabEmirates/BTC-10822/2022	EPI_ISL_16800102		Khalifa University Center for Biotechnology	Khalifa University Center for Biotechnology	AlSafar et al.	GISAID	sars2
hCoV-19/Kiribati/KIR054/2022	EPI_ISL_14250571		Kiribati Ministry of Health and Medical Services	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Kabiri et al	GISAID	sars2
hCoV-19/Morocco/756/2022	EPI_ISL_13289779		NIH-Rabat	NIC at National Institute of Hygiene	Hassan Ihazmade et al	GISAID	sars2
hCoV-19/Cameroon/C062/2021	EPI_ISL_13296329		Laboratoire Nationale de Santé Publique	Institut Pasteur de Dakar	Essomba René Ghislain et al	GISAID	sars2
hCoV-19/Cameroon/CERI-KRISP-K037195/2021	EPI_ISL_11825829		Laboratoire National de Sante Publique	CERI, Centre for Epidemic Response and Innvoation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.	Dr Essomba Rene Ghislain et al	GISAID	sars2
hCoV-19/Mexico/MEX-UGA_HRAEI_SSA_0356/2022	EPI_ISL_13560101		Hospital Regional de Alta Especialidad de Ixtapaluca	Unidad de Genomica Avanzada	Gustavo Acosta-Altamirano (1) et al	GISAID	sars2
hCoV-19/Spain/AN-CBA-20194/2022	EPI_ISL_16195094		Servicio de Microbiologia, Hospital Puerta del Mar, Cadiz, Spain	Clinical Bioinformatics Area, Fundación Progreso y Salud	María Lara on behalf of SARS-CoV-2 whole genome sequencing circuit of Andalusia et al	GISAID	sars2
hCoV-19/SaudiArabia/KAU_CEBR_C36/2022	EPI_ISL_15668750		Alborg Diagnostics	Centre of Excellence in Bionanoscience Research	Ahmed Bouna et al	GISAID	sars2
hCoV-19/Bermuda/WR-NYGC-DEC-6145-VMGT561/2021	EPI_ISL_9121161		Bermuda Molecular Diagnostics and Research Laboratory	New York Genome Center	Michael Zody et al	GISAID	sars2
hCoV-19/Latvia/2202018585/2022	EPI_ISL_13628530		Riga East Clinical University Hospital	Riga East Clinical University Hospital, National Microbiology Reference Laboratory	Reinis Vangravs et al	GISAID	sars2
hCoV-19/Mexico/un-UGA_HRAEI_SSA_0309/2022	EPI_ISL_13560292		Hospital Regional de Alta Especialidad de Ixtapaluca	Unidad de Genomica Avanzada	Gustavo Acosta-Altamirano (1) et al	GISAID	sars2
hCoV-19/Canada/PE-NML-298322/2022	EPI_ISL_15185240		PE-QEH Dept of Lab Medicine	National Microbiology Laboratory (NML)	Vanessa Arseneau et al	GISAID	sars2
hCoV-19/Thailand/DMSc-07758/2022	EPI_ISL_10096207		Regional Medical Sciences Center 7 Khon Kaen	Division of Genomic Medicine and Innovation support,Department of Medical Sciences, Ministry of Public Health, Thailand	Surakameth Mahasirimongkol et al	GISAID	sars2
hCoV-19/Palau/PW-CDC-2-5546629/2022	EPI_ISL_10218062	OM737991.1	Belau National Hospital	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Mili Sheth et al	GISAID	sars2
hCoV-19/Belize/CML-334/2021	EPI_ISL_9711935		Central Medical Laboratory	Central Medical Laboratory	Roberto Melendez et al	GISAID	sars2
hCoV-19/Malta/MDxMDHO134/2022	EPI_ISL_9779337		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al	GISAID	sars2
hCoV-19/Malta/MDxMDHO126/2022	EPI_ISL_9776828		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-80699/2021	EPI_ISL_8724044		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-85347/2022	EPI_ISL_9530204		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-15842/2022	EPI_ISL_11627942		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al	GISAID	sars2
hCoV-19/USA/NM-CDC-LC0530138/2022	EPI_ISL_10074242	OM737285.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al	GISAID	sars2
hCoV-19/Mexico/SIN_IBT_IMSS_6822/2022	EPI_ISL_11826188		Centro de Investigación Biomédica de Occidente (CIBO)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	GISAID	sars2
hCoV-19/Greece/329280/2022	EPI_ISL_11070520		Hellenic National Blood Transfusion Center - EKEA	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)	Emmanouil Athanasiadis et al	GISAID	sars2
hCoV-19/Aruba/AW-RIVM-88569/2022	EPI_ISL_10696281		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Morocco/FMP463/2022	EPI_ISL_15631386		Laboratoire central de Virologie	Laboratoire de Biotechnologie	Mouna Ouadghiri et al	GISAID	sars2
hCoV-19/Maldives/MAV127401/2022	EPI_ISL_9738923		Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	D. Fathmath Nazla Rafeeq et al	GISAID	sars2
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI1215/2022	EPI_ISL_9075029		University Clinical Hospital of Mostar, Department of Microbiology and Molecular Diagnostics	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research	Goletic S et al	GISAID	sars2
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-30335/2022	EPI_ISL_13030205		Ospedale Santa Maria delle Grazie	TIGEM	Antonio Grimaldi Patrizia Annunziata Francesco Panariello Claudia Tiberio Teresa Giuliano Tonya Fusco Valentina Bouche Ilaria Cimmino Chiara Colantuono Lucio Di Filippo Anna Manfredi Marcello Salvi Antonio Limone Luigi Atripaldi Andrea Ballabio Davide Cacchiarelli et al	GISAID	sars2
hCoV-19/Namibia/N30826/2022	EPI_ISL_12958594		Namibia Institute of Pathology (NIP)	National Institute for Communicable Diseases of the National Health Laboratory Service	Van Rooyen G et al	GISAID	sars2
hCoV-19/Morocco/IPM20404450/2022	EPI_ISL_10070726		Institut Pasteur du Maroc, Medical Virology and BSL3 Laboratory	Institut Pasteur du Maroc, Centre de Séquençage Génomique	EL Hamouchi Adil et al	GISAID	sars2
hCoV-19/Eswatini/N40483/2021	EPI_ISL_12954221		Raleigh Fitkin Memorial Hospital	National Institute for Communicable Diseases of the National Health Laboratory Service	Maphalala G et al	GISAID	sars2
hCoV-19/SouthAfrica/NICD-N30008/2021	EPI_ISL_9679538		LIVINGSTONE LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG et al	GISAID	sars2
hCoV-19/Malawi/MLW-00461/2021	EPI_ISL_11246767		Malawi Liverpool Wellcome Trust Clinical Research Program	Malawi Liverpool Wellcome Trust Clinical Research Program	Catherine Anscombe et al	GISAID	sars2
hCoV-19/Ethiopia/ILRI_COVM02926/2022	EPI_ISL_11295034		Addis Ababa University	International Livestock Research Institute	Abay Sisay et al	GISAID	sars2
hCoV-19/Niger/CE_CFS15/2022	EPI_ISL_13285105		CERMES	CERMES	Lagare Adamou et al	GISAID	sars2
hCoV-19/Congo/RC-412/2021	EPI_ISL_10023527		Molecular Lab, National Laboratory of Public Health	Pathogen Genomics Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni et al B	GISAID	sars2
